"Year","Rank","Institution","Satisfied_with_Course","Satisfied_with_Teaching","Satisfied_with_Feedback","Student_to Staff_Ratio","Spend_per_Student","Average_Entry_Tariff","Value_Added_Score","Career_after_15 months","Continuation","Guardian Score"
"2020","30","UEA","86","86","70","13","4.1","147","6.8","78","93","63.1"
"2019","18","UEA","89","88","71","13","4.4","153","7.5","78","94","75.7"
"2018","18","UEA","91","90","72","13","4.6","154","7.4","74","0","74.2"
"2017","24","UEA","92","91","70","13","3.9","422","6.7","71","0","71.5"
"2016","20","UEA","92","91","71","13","4.3","407","6.8","71","0","74.2"
"2015","14","UEA","90","91","69","13","7.3","430","5.9","69","0","76.1"
"2014","17","UEA","89","90","67","13","6.9","418","6","67","0","74.7"
"2013","24","UEA","89","91","68","13","7.7","393","5.2","57","0","68.8"
"2012","18","UEA","90","90","68","14","7.1","381","5.8","61","0","69.8"
"2011","19","UEA","90","92","69","15","6.4","363","6.2","67","0","67.9"
"2022","41","UEA","80","83","68","13","4.2","133","5.8","82","92","69.6"
"2021","61","Ulster","84","83","73","18","4","129","6.5","79","91","59"
"2020","59","Ulster","86","85","75","17","3.6","128","6.1","72","91","53.9"
"2019","93","Ulster","85","84","74","17","3.1","126","5.5","67","91","57.2"
"2018","96","Ulster","88","87","76","18","3.4","126","5.6","65","0","49.6"
"2017","79","Ulster","90","89","77","17","4.3","307","5.2","63","0","53.9"
"2016","82","Ulster","87","85","73","16","3.8","306","5.9","58","0","56.4"
"2015","93","Ulster","87","86","73","19","3.5","309","5.9","51","0","47.8"
"2014","97","Ulster","85","84","70","18","3.8","283","4.9","53","0","46.3"
"2013","88","Ulster","82","80","62","16","4.1","282","6.3","45","0","47.8"
"2012","88","Ulster","82","80","62","17","4.1","264","5.6","51","0","48.9"
"2011","79","Ulster","85","82","63","16","4.2","268","5.7","56","0","52.6"
"2022","58","Ulster","82","81","71","18","4.4","126","6.7","79","92","66.9"
"2021","33","University for the Creative Arts","81","83","79","13","7.7","136","5","63","89","63.8"
"2020","13","University for the Creative Arts","82","84","80","12","7.7","144","5.1","73","87","71.1"
"2018","21","University for the Creative Arts","85","87","76","12","9.2","126","5.6","53","0","72.2"
"2017","39","University for the Creative Arts","83","88","81","12","8.7","321","3.4","51","0","64.9"
"2022","32","University for the Creative Arts","72","79","76","14","7.4","134","6.5","63","90","71.3"
"2021","45","University of the Arts London","70","76","75","13","10","136","6.2","65","91","61.9"
"2020","39","University of the Arts London","72","77","74","14","10","137","6.5","72","89","61.2"
"2019","75","University of the Arts London","71","77","73","14","9.9","135","5.6","56","88","60.4"
"2018","59","University of the Arts London","0","0","70","15","9.8","120","5.5","61","0","59"
"2017","53","University of the Arts London","76","80","74","17","9.9","323","5.7","58","0","61.1"
"2016","44","University of the Arts London","70","79","70","15","9.8","321","5.5","55","0","65"
"2015","31","University of the Arts London","70","77","69","18","9.9","343","6.2","54","0","67.4"
"2014","53","University of the Arts London","60","71","64","22","9","317","6","52","0","61.1"
"2013","31","University of the Arts London","69","77","67","17","9","302","6.2","53","0","67.2"
"2022","26","University of the Arts London","64","73","73","12","9.8","140","7","65","90","73.2"
"2021","21","UWE Bristol","88","87","76","15","4.9","121","6.2","80","91","67.3"
"2020","28","UWE Bristol","89","89","77","15","5.2","126","6.9","76","90","63.9"
"2019","37","UWE Bristol","87","87","74","18","5.1","126","6.6","77","91","68.2"
"2018","52","UWE Bristol","87","89","76","18","4.2","122","6.5","76","0","60.6"
"2017","68","UWE Bristol","85","87","71","18","3.7","323","6.6","70","0","56.5"
"2016","79","UWE Bristol","83","85","66","19","3.4","324","6.7","68","0","56.9"
"2015","49","UWE Bristol","88","88","71","20","3.3","339","7.7","68","0","59.7"
"2014","64","UWE Bristol","82","85","66","21","3.2","322","7.8","63","0","56.5"
"2013","54","UWE Bristol","83","84","67","20","3.8","298","6.7","62","0","57.2"
"2012","59","UWE Bristol","80","83","64","20","3.8","276","6.8","58","0","55.5"
"2011","62","UWE Bristol","83","83","65","19","4","270","7.8","57","0","56.6"
"2022","36","UWE Bristol","82","83","73","15","4.1","123","5.3","80","90","70.4"
"2021","8","Warwick","86","85","71","13","7.3","172","6.3","88","95","77.1"
"2020","9","Warwick","85","86","70","13","7.7","180","5.5","81","95","73.9"
"2019","8","Warwick","87","87","70","12","7.8","182","5.8","80","95","80.9"
"2018","8","Warwick","88","89","73","12","8.2","185","5.9","80","0","80.9"
"2017","9","Warwick","86","87","72","12","8.6","489","5.8","78","0","82"
"2016","6","Warwick","89","89","71","12","8.5","482","5.9","78","0","84.6"
"2015","9","Warwick","87","87","66","13","8.6","509","6","79","0","80.7"
"2014","10","Warwick","85","87","62","14","8.6","505","5.8","74","0","80.2"
"2013","5","Warwick","88","89","62","14","8.6","496","6.4","73","0","82.1"
"2012","6","Warwick","89","88","61","14","8.6","480","6.6","69","0","81.8"
"2011","3","Warwick","88","87","61","13","8.4","463","6.2","75","0","81.4"
"2022","6","Warwick","84","85","70","12","7","170","5.3","88","96","85.3"
"2021","34","West London","87","88","79","15","6","122","6.2","72","88","63.6"
"2020","57","West London","79","82","72","14","6.3","123","6.2","74","86","54.1"
"2019","50","West London","83","86","78","15","4.6","120","6.4","70","86","65.9"
"2018","58","West London","76","82","72","15","5.8","118","6.4","68","0","59.3"
"2017","96","West London","72","79","68","15","5.6","300","5.4","60","0","50.3"
"2016","94","West London","81","82","71","17","5.4","258","4.7","67","0","50.6"
"2015","97","West London","76","81","69","18","5.4","255","3.3","62","0","47.1"
"2014","84","West London","79","84","72","21","6.1","234","4.5","50","0","50.1"
"2013","68","West London","76","78","67","21","7","229","4","49","0","53.4"
"2012","81","West London","67","73","62","0","7.7","217","4.4","49","0","50.2"
"2011","77","West London","72","76","64","17","6.5","197","7.2","57","0","53.7"
"2022","35","West London","82","86","78","15","6.1","116","6.6","72","88","70.5"
"2021","120","West of Scotland","84","85","74","22","3.3","129","5.1","74","87","40"
"2020","106","West of Scotland","85","87","76","22","3.9","139","5.2","81","86","38.1"
"2019","114","West of Scotland","84","86","73","22","4","137","5","72","83","48.4"
"2018","104","West of Scotland","85","87","75","20","3.5","142","5.9","70","0","47"
"2017","103","West of Scotland","86","87","73","19","3.2","326","5.9","65","0","47.2"
"2016","115","West of Scotland","84","83","65","21","3.7","305","5.9","58","0","42.4"
"2015","110","West of Scotland","84","82","67","22","3.5","298","5","56","0","40.1"
"2014","105","West of Scotland","83","83","68","21","3.5","287","4.1","51","0","43.8"
"2013","107","West of Scotland","82","83","65","22","3.6","272","3.7","56","0","39.6"
"2012","118","West of Scotland","0","0","0","20","3.6","239","2.4","54","0","34.5"
"2022","120","West of Scotland","79","81","70","20","3.3","136","6.4","74","86","51.1"
"2021","117","Westminster","78","79","68","20","4.4","119","3.8","69","91","42.3"
"2020","102","Westminster","75","77","65","19","4.5","127","5.4","70","91","41.2"
"2019","81","Westminster","79","78","67","17","4.8","123","6.4","67","90","59.3"
"2018","108","Westminster","81","80","68","17","4.3","117","6.7","57","0","46.2"
"2017","112","Westminster","81","80","68","19","4.1","318","6.2","55","0","40.9"
"2016","101","Westminster","81","79","65","19","4.1","311","6.8","50","0","48.4"
"2015","95","Westminster","80","79","65","20","4.6","317","6.5","54","0","47.5"
"2014","99","Westminster","74","76","63","20","4.1","326","6.4","54","0","46"
"2013","93","Westminster","74","75","61","18","4.2","290","6.4","53","0","46.2"
"2012","87","Westminster","73","75","60","17","4","271","7.5","49","0","49"
"2011","105","Westminster","71","73","57","16","3.9","263","6.6","48","0","44.4"
"2022","110","Westminster","75","77","67","20","3.9","118","4.9","69","90","57"
"2021","94","Winchester","82","85","74","16","2.9","110","5","71","92","51.7"
"2020","96","Winchester","84","88","71","16","2.9","112","5.7","63","91","42.9"
"2019","92","Winchester","86","87","71","16","2.6","112","6.2","62","91","57.4"
"2018","90","Winchester","85","87","74","15","2.6","0","6.3","61","0","51.2"
"2017","63","Winchester","90","91","77","16","2.7","295","6.2","61","0","57.3"
"2016","75","Winchester","89","88","73","16","2.9","307","6.8","52","0","57.6"
"2015","59","Winchester","89","91","77","17","3","322","6.4","53","0","57.6"
"2014","66","Winchester","87","89","75","17","2.7","307","6.3","53","0","56.2"
"2013","87","Winchester","81","86","67","18","2.7","285","5.8","47","0","48"
"2012","69","Winchester","79","83","67","17","2.5","274","6.1","49","0","53.6"
"2011","96","Winchester","83","86","65","17","2.4","265","4.9","48","0","47.7"
"2022","107","Winchester","75","80","69","17","2.8","107","4.4","71","92","58.6"
"2021","112","Wolverhampton","81","84","74","17","5.5","107","4.5","70","85","45.2"
"2020","115","Wolverhampton","83","83","73","18","5","111","4.5","69","84","33.8"
"2019","116","Wolverhampton","82","82","70","20","4.6","108","4.7","66","85","46.5"
"2022","106","Wolverhampton","75","81","71","17","6.2","104","6","70","86","58.7"
"2021","87","Worcester","87","87","78","17","3.9","116","4.7","76","90","53.8"
"2020","88","Worcester","86","89","76","17","3.6","120","5.2","75","89","46.6"
"2019","91","Worcester","84","86","74","16","3.5","118","5.1","67","90","57.6"
"2018","88","Worcester","84","88","75","16","3.9","118","5.2","68","0","51.7"
"2017","95","Worcester","87","87","71","17","2.9","302","6.4","63","0","50.6"
"2016","108","Worcester","82","85","69","19","2","301","5.4","61","0","45.5"
"2015","103","Worcester","84","85","69","21","3.3","300","5.4","64","0","44.7"
"2014","95","Worcester","79","82","69","23","4.5","282","6.5","58","0","47.7"
"2013","98","Worcester","84","85","71","21","4.2","282","5.1","52","0","43.8"
"2012","105","Worcester","78","81","64","21","4.5","265","5.7","53","0","44.2"
"2011","92","Worcester","81","82","66","20","4.6","257","4.3","58","0","49.2"
"2022","92","Worcester","81","84","75","16","3.9","114","3.6","76","90","60.6"
"2021","16","York","87","87","73","14","4.8","151","5","84","96","69.9"
"2020","20","York","84","88","75","14","5.5","158","4.7","82","95","66.5"
"2019","12","York","88","90","75","14","5.9","159","4.8","82","95","77.9"
"2018","17","York","89","91","74","14","6.3","161","4.8","77","0","74.3"
"2017","19","York","87","90","70","14","7.1","431","4.8","76","0","73.7"
"2016","22","York","85","88","68","14","7","437","5","74","0","73.4"
"2015","16","York","87","88","68","15","6.5","446","5.6","75","0","74"
"2014","16","York","89","90","72","15","7.2","457","5.4","68","0","75.3"
"2013","17","York","87","89","68","15","6.8","450","4.9","67","0","71.3"
"2012","15","York","87","90","69","14","6.6","434","5.3","64","0","72.7"
"2011","9","York","87","91","67","13","6.8","421","4.8","68","0","73.5"
"2022","18","York","81","84","69","13","5.1","149","4","84","96","74.6"
"2021","91","York St John","85","86","80","18","3.1","103","4.7","71","93","52.8"
"2020","107","York St John","85","85","74","18","2.9","114","3.7","74","90","37.5"
"2019","119","York St John","82","84","72","17","3.3","114","3.4","56","91","43.6"
"2018","119","York St John","81","82","72","17","3.9","119","2.7","61","0","36.6"
"2017","104","York St John","86","88","75","18","4.2","301","4.2","65","0","46.8"
"2016","107","York St John","83","85","68","20","3.8","291","4.6","64","0","46.2"
"2015","89","York St John","86","89","77","21","4.1","302","4.9","62","0","49.8"
"2014","94","York St John","82","86","67","20","5.9","301","4.5","50","0","47.8"
"2013","98","York St John","84","87","71","21","5.4","281","3.7","50","0","43.8"
"2012","96","York St John","81","84","72","21","5.8","280","4","48","0","46.5"
"2011","90","York St John","80","83","69","20","5.3","278","3.8","56","0","49.9"
"2022","84","York St John","81","83","77","18","3.4","108","4.5","71","92","62.7"
